Venezuela	2009.0	101.0	South America	1	15.0	0.0	1.0	ignore	2009-09-05	2009-09-05T00:00:00.000000Z	2009-09-05	2009-09-05T00:00:00.000000Z	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-1.192175	-0.9929981	8.0	-1.617913	-0.8535612	PF
Ivory Coast	2016.0	437.0	Africa	1	2.0	1.0	2.0	shootings	2016-07-22	2016-07-22T00:00:00.000000Z	2016-07-22	2016-07-22T00:00:00.000000Z	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.5299415	-0.6732535	8.0	-0.6447258	-0.3084423	PF
Cameroon	2011.0	471.0	Africa	1	2.0	0.0	2.0	arrests	2011-10-01	2011-10-01T00:00:00.000000Z	2011-10-01	2011-10-01T00:00:00.000000Z	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	-1.145436	-0.8900474	8.0	-1.074429	-1.033121	NF
China	2009.0	710.0	Asia	1	3.0	1.0	3.0	arrests	2009-03-21	2009-03-21T00:00:00.000000Z	2009-03-21	2009-03-21T00:00:00.000000Z	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.5149382	0.0938044	8.0	-0.4070508	-1.701171	NF
Mauritania	2016.0	435.0	Africa	1	1.0	0.0	5.0	ignore	2016-04-29	2016-04-29T00:00:00.000000Z	2016-04-29	2016-04-29T00:00:00.000000Z	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	-0.7390987	-0.772055	6.0	-0.7266173	-0.7726986	NF
Ecuador	2015.0	130.0	South America	1	2.0	0.0	5.0	ignore	2015-06-25	2015-06-25T00:00:00.000000Z	2015-06-25	2015-06-25T00:00:00.000000Z	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.6713044	-0.4425788	8.0	-1.028962	-0.2117548	PF
Japan	2015.0	740.0	Asia	1	6.0	0.0	5.0	ignore	2015-08-01	2015-08-01T00:00:00.000000Z	2015-08-01	2015-08-01T00:00:00.000000Z	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.5697	1.784168	9.0	1.518585	0.9880549	F
Greece	2006.0	350.0	Europe	1	12.0	0.0	3.0	ignore	2006-12-13	2006-12-13T00:00:00.000000Z	2006-12-13	2006-12-13T00:00:00.000000Z	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.3637859	0.636948	8.0	0.8736634	0.9654828	F
Italy	2007.0	325.0	Europe	1	7.0	0.0	2.0	ignore	2007-11-28	2007-11-28T00:00:00.000000Z	2007-11-29	2007-11-29T00:00:00.000000Z	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3368244	0.1976259	8.0	0.4787489	1.111907	F
Slovakia	2018.0	317.0	Europe	1	12.0	0.0	7.0	ignore	2018-11-16	2018-11-16T00:00:00.000000Z	2018-11-16	2018-11-16T00:00:00.000000Z	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.2620581	0.6173107	8.0	0.5021188	0.8372356	F
Kyrgyzstan	2012.0	703.0	Asia	1	15.0	0.0	2.0	ignore	2012-03-23	2012-03-23T00:00:00.000000Z	2012-03-23	2012-03-23T00:00:00.000000Z	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.149493	-0.649578	6.0	-1.129424	-0.6110972	PF
Kenya	2015.0	501.0	Africa	1	26.0	0.0	2.0	ignore	2015-02-03	2015-02-03T00:00:00.000000Z	2015-02-03	2015-02-03T00:00:00.000000Z	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.013617	-0.3015067	8.0	-0.4882332	-0.1460002	PF
Panama	2012.0	95.0	Central America	1	2.0	1.0	3.0	shootings	2012-10-19	2012-10-19T00:00:00.000000Z	2012-10-19	2012-10-19T00:00:00.000000Z	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-0.3580857	0.2849198	8.0	-0.1916678	0.4694169	F
United Kingdom	2016.0	200.0	Europe	1	28.0	0.0	3.0	ignore	2016-11-08	2016-11-08T00:00:00.000000Z	2016-11-08	2016-11-08T00:00:00.000000Z	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.895578	1.609554	9.0	1.678407	1.295399	F
